Date,Close,Volume
2019/01/02,11.1,18798
2019/01/03,10.9,49252
2019/01/04,10.7,43041
2019/01/07,11.0,32910
2019/01/08,10.95,29489
2019/01/09,11.1,38339
2019/01/10,11.15,35341
2019/01/11,11.2,23328
2019/01/14,11.1,25189
2019/01/15,11.25,34809
2019/01/16,11.3,30906
2019/01/17,11.25,45217
2019/01/18,11.4,30066
2019/01/21,11.7,60585
2019/01/22,11.7,19850
2019/01/23,11.55,9871
2019/01/24,11.7,13008
2019/01/25,11.95,43907
2019/01/28,11.85,34489
2019/01/29,12.0,37926
2019/01/30,11.35,95570
2019/02/11,10.85,82010
2019/02/12,11.1,70690
2019/02/13,11.1,70000
2019/02/14,11.3,26940
2019/02/15,11.4,33217
2019/02/18,11.45,23733
2019/02/19,11.45,20956
2019/02/20,11.4,23211
2019/02/21,11.45,33906
2019/02/22,11.5,39409
2019/02/25,11.65,58222
2019/02/26,11.65,31765
2019/02/27,11.45,65102
2019/03/04,11.45,27904
2019/03/05,11.6,22504
2019/03/06,11.7,20169
2019/03/07,11.85,58798
2019/03/08,11.6,26782
2019/03/11,11.45,40281
2019/03/12,11.65,15935
2019/03/13,11.55,14050
2019/03/14,11.45,17760
2019/03/15,11.65,28892
2019/03/18,11.7,23859
2019/03/19,11.7,33532
2019/03/20,11.55,19746
2019/03/21,11.6,27175
2019/03/22,11.8,32719
2019/03/25,11.65,41937
2019/03/26,11.65,13701
2019/03/27,11.65,14664
2019/03/28,11.65,28280
2019/03/29,11.65,31034
2019/04/01,11.55,22798
2019/04/02,11.6,23155
2019/04/03,11.55,21951
2019/04/08,11.9,105510
2019/04/09,12.3,86939
2019/04/10,12.25,48397
2019/04/11,12.1,89309
2019/04/12,12.2,17252
2019/04/15,12.05,34868
2019/04/16,12.1,35946
2019/04/17,12.2,60477
2019/04/18,12.0,48686
2019/04/19,12.1,24015
2019/04/22,11.9,28202
2019/04/23,11.95,27169
2019/04/24,11.95,39688
2019/04/25,13.1,185934
2019/04/26,13.45,225982
2019/04/29,13.35,71900
2019/04/30,13.45,63857
2019/05/02,13.55,37508
2019/05/03,13.85,87607
2019/05/06,13.2,94350
2019/05/07,13.6,53939
2019/05/08,13.45,53979
2019/05/09,13.15,61722
2019/05/10,13.2,34772
2019/05/13,12.95,34652
2019/05/14,13.0,68436
2019/05/15,12.9,54345
2019/05/16,12.95,32193
2019/05/17,13.0,52327
2019/05/20,12.75,36419
2019/05/21,12.95,39455
2019/05/22,13.0,25560
2019/05/23,12.85,47580
2019/05/24,12.95,27753
2019/05/27,12.8,25262
2019/05/28,12.45,86813
2019/05/29,12.6,32266
2019/05/30,12.75,43693
2019/05/31,12.9,31740
2019/06/03,13.2,41302
2019/06/04,13.0,41757
2019/06/05,12.9,27276
2019/06/06,13.05,32018
2019/06/10,13.3,28170
2019/06/11,13.4,32581
2019/06/12,13.55,30229
2019/06/13,13.75,70097
2019/06/14,13.7,28211
2019/06/17,13.65,30522
2019/06/18,13.25,41290
2019/06/19,13.65,48300
2019/06/20,13.4,38934
2019/06/21,13.7,48460
2019/06/24,13.75,25972
2019/06/25,13.7,26154
2019/06/26,13.8,59484
2019/06/27,14.0,62428
2019/06/28,13.95,32353
2019/07/01,14.35,47180
2019/07/02,14.25,17391
2019/07/03,14.05,22614
2019/07/04,14.15,12644
2019/07/05,14.1,20384
2019/07/08,13.95,25191
2019/07/09,14.0,24138
2019/07/10,14.65,61150
2019/07/11,14.95,94279
2019/07/12,14.6,62666
2019/07/15,14.9,62793
2019/07/16,14.0,66174
2019/07/17,13.75,36690
2019/07/18,13.8,20428
2019/07/19,13.8,27177
2019/07/22,13.6,32142
2019/07/23,13.6,29467
2019/07/24,13.85,36353
2019/07/25,13.55,91752
2019/07/26,13.2,68165
2019/07/29,13.4,23290
2019/07/30,13.6,40638
2019/07/31,13.8,56482
2019/08/01,13.4,38617
2019/08/02,13.35,45049
2019/08/05,13.1,40930
2019/08/06,13.0,39315
2019/08/07,13.1,32109
2019/08/08,13.3,27796
2019/08/12,13.0,22603
2019/08/13,12.95,17761
2019/08/14,13.1,15792
2019/08/15,12.9,16288
2019/08/16,13.35,39828
2019/08/19,13.45,23032
2019/08/20,13.5,23079
2019/08/21,13.5,17886
2019/08/22,13.25,26634
2019/08/23,13.35,17781
2019/08/26,13.0,26263
2019/08/27,13.05,62631
2019/08/28,13.15,18889
2019/08/29,13.2,10676
2019/08/30,13.45,32774
2019/09/02,13.35,8528
2019/09/03,13.2,13374
2019/09/04,13.6,40434
2019/09/05,13.6,27277
2019/09/06,13.55,16088
2019/09/09,13.6,13483
2019/09/10,13.6,21363
2019/09/11,13.7,20063
2019/09/12,13.7,25967
2019/09/16,13.6,23641
2019/09/17,13.55,22155
2019/09/18,13.55,18441
2019/09/19,13.6,23352
2019/09/20,13.8,43362
2019/09/23,13.7,26236
2019/09/24,13.65,33743
2019/09/25,13.6,28777
2019/09/26,13.6,50905
2019/09/27,13.4,21617
2019/10/01,13.65,26138
2019/10/02,13.5,8772
2019/10/03,13.4,20721
2019/10/04,13.45,11753
2019/10/07,13.35,15828
2019/10/08,13.35,23503
2019/10/09,13.15,38292
2019/10/14,13.5,45103
2019/10/15,13.7,48290
2019/10/16,13.75,31033
2019/10/17,13.8,17379
2019/10/18,13.95,46084
2019/10/21,13.9,12903
2019/10/22,14.0,23631
2019/10/23,14.05,26012
2019/10/24,14.55,119513
2019/10/25,14.4,43635
2019/10/28,14.25,23325
2019/10/29,14.5,63793
2019/10/30,14.4,61233
2019/10/31,14.0,97117
2019/11/01,14.5,93849
2019/11/04,14.65,94378
2019/11/05,14.5,53488
2019/11/06,14.5,52059
2019/11/07,14.25,44219
2019/11/08,14.25,24415
2019/11/11,14.25,31160
2019/11/12,14.3,35026
2019/11/13,14.2,32373
2019/11/14,14.5,57937
2019/11/15,14.3,39855
2019/11/18,14.5,58847
2019/11/19,14.55,37821
2019/11/20,14.75,55131
2019/11/21,14.65,42654
2019/11/22,14.6,30220
2019/11/25,15.0,166478
2019/11/26,15.2,165216
2019/11/27,15.2,41376
2019/11/28,15.1,34136
2019/11/29,14.95,45681
2019/12/02,15.1,63994
2019/12/03,15.35,51943
2019/12/04,15.85,190321
2019/12/05,16.55,228294
2019/12/06,16.2,109731
2019/12/09,16.25,68335
2019/12/10,16.45,58803
2019/12/11,16.25,60175
2019/12/12,16.6,155933
2019/12/13,16.6,81741
2019/12/16,16.65,72127
2019/12/17,17.0,96263
2019/12/18,16.8,73543
2019/12/19,16.7,57550
2019/12/20,16.7,47379
2019/12/23,16.55,30998
2019/12/24,16.55,25642
2019/12/25,16.65,19272
2019/12/26,16.55,26143
2019/12/27,16.7,31725
2019/12/30,16.55,46454
2019/12/31,16.45,30478
2020/01/02,16.55,32937
2020/01/03,16.3,48588
2020/01/06,16.05,44790
2020/01/07,16.0,39718
2020/01/08,15.75,60494
2020/01/09,16.05,43816
2020/01/10,16.15,32386
2020/01/13,16.05,23989
2020/01/14,16.25,61290
2020/01/15,16.15,36473
2020/01/16,16.15,27867
2020/01/17,16.0,28877
2020/01/20,16.05,31117
2020/01/30,15.1,137855
2020/01/31,14.9,68549
2020/02/03,15.0,75652
2020/02/04,15.2,70790
2020/02/05,15.5,77032
2020/02/06,16.25,157712
2020/02/07,16.35,80109
2020/02/10,16.4,44206
2020/02/11,16.7,84802
2020/02/12,16.9,79548
2020/02/13,16.85,73179
2020/02/14,16.5,43506
2020/02/17,16.4,40030
2020/02/18,16.15,44154
2020/02/19,16.1,30092
2020/02/20,16.3,43133
2020/02/21,16.05,26572
2020/02/24,15.8,48434
2020/02/25,15.9,39151
2020/02/26,15.6,47662
2020/02/27,15.3,81289
2020/03/02,15.25,99628
2020/03/03,15.5,88570
2020/03/04,15.8,85641
2020/03/05,15.7,59085
2020/03/06,15.45,72732
2020/03/09,15.05,82969
2020/03/10,14.95,82904
2020/03/11,14.8,55553
2020/03/12,14.35,138258
2020/03/13,14.05,211904
2020/03/16,13.9,81036
2020/03/17,13.75,147402
2020/03/18,13.8,90628
2020/03/19,13.7,176799
2020/03/20,13.85,158070
2020/03/23,13.75,59406
2020/03/24,13.85,114641
2020/03/25,14.1,187932
2020/03/26,14.1,74645
2020/03/27,14.0,59235
2020/03/30,13.95,38765
2020/03/31,13.65,79000
2020/04/01,13.8,48954
2020/04/06,14.1,75417
2020/04/07,14.15,112835
2020/04/08,14.2,70020
2020/04/09,14.2,40473
2020/04/10,14.3,23315
2020/04/13,14.8,94375
2020/04/14,15.15,70873
2020/04/15,15.1,76800
2020/04/16,14.9,55714
2020/04/17,15.05,102841
2020/04/20,15.15,46983
2020/04/21,14.8,74235
2020/04/22,15.2,51801
2020/04/23,15.8,157791
2020/04/24,15.9,104062
2020/04/27,16.15,121440
2020/04/28,15.0,219150
2020/04/29,15.3,96798
2020/04/30,15.55,64768
2020/05/04,15.35,47975
2020/05/05,15.25,34096
2020/05/06,15.3,34763
2020/05/07,15.6,85739
2020/05/08,15.65,39736
2020/05/11,15.6,42257
2020/05/12,15.45,40406
2020/05/13,15.6,30545
2020/05/14,15.35,31677
2020/05/15,15.4,32116
2020/05/18,15.1,41754
2020/05/19,14.95,54397
2020/05/20,14.85,63261
2020/05/21,15.3,39817
2020/05/22,15.1,33556
2020/05/25,15.1,19221
